caseid,time,activity
1,54,arrival
1,54,join_queue
1,54,begin_service
1,332,end_service
2,345,arrival
2,345,join_queue
2,345,begin_service
2,431,end_service
3,781,arrival
3,781,join_queue
3,781,begin_service
4,811,arrival
4,811,join_queue
3,855,end_service
5,855,arrival
5,855,join_queue
4,855,begin_service
4,936,end_service
5,936,begin_service
5,996,end_service
6,1747,arrival
6,1747,join_queue
6,1747,begin_service
7,1795,arrival
7,1795,join_queue
6,1807,end_service
7,1807,begin_service
7,1867,end_service
8,1900,arrival
8,1900,join_queue
8,1900,renege
9,2417,arrival
9,2417,join_queue
9,2417,renege
10,2801,arrival
10,2801,join_queue
10,2801,begin_service
10,3047,end_service
11,3151,arrival
11,3151,join_queue
11,3151,begin_service
11,3323,end_service
12,3596,arrival
12,3596,join_queue
12,3596,renege
13,3614,arrival
13,3614,join_queue
13,3614,renege
14,3798,arrival
14,3798,join_queue
14,3798,begin_service
14,4004,end_service
15,4521,arrival
15,4521,join_queue
15,4521,begin_service
15,4612,end_service
16,4854,arrival
16,4854,join_queue
16,4854,begin_service
16,4952,end_service
17,5195,arrival
17,5195,join_queue
17,5195,begin_service
17,5312,end_service
18,5982,arrival
18,5982,join_queue
18,5982,renege
19,6039,arrival
19,6039,join_queue
19,6039,begin_service
19,6287,end_service
20,6669,arrival
20,6669,join_queue
20,6669,begin_service
20,6786,end_service
21,6801,arrival
21,6801,join_queue
21,6801,renege
22,7196,arrival
22,7196,join_queue
22,7196,begin_service
22,7256,end_service
23,7532,arrival
23,7532,join_queue
23,7532,renege
24,8027,arrival
24,8027,join_queue
24,8027,begin_service
24,8087,end_service
25,8442,arrival
25,8442,join_queue
25,8442,renege
26,10822,arrival
26,10822,join_queue
26,10822,renege
27,10993,arrival
27,10993,join_queue
27,10993,renege
28,11187,arrival
28,11187,join_queue
28,11187,renege
29,11529,arrival
29,11529,join_queue
29,11529,begin_service
29,11734,end_service
30,11894,arrival
30,11894,join_queue
30,11894,begin_service
31,11931,arrival
31,11931,join_queue
30,11954,end_service
31,11954,renege
32,12682,arrival
32,12682,join_queue
32,12682,begin_service
32,12845,end_service
33,12965,arrival
33,12965,join_queue
33,12965,begin_service
33,13025,end_service
34,13222,arrival
34,13222,join_queue
34,13222,renege
35,14051,arrival
35,14051,join_queue
35,14051,begin_service
36,14092,arrival
36,14092,join_queue
37,14114,arrival
37,14114,join_queue
35,14184,end_service
36,14184,begin_service
38,14304,arrival
38,14304,join_queue
36,14391,end_service
37,14391,begin_service
